Var1,Freq
AC148152.3_FG005,37
AC148167.6_FG001,29
AC148152.3_FG008,27
AC149475.2_FG002,12
GRMZM2G139621,11
GRMZM2G138125,9
GRMZM2G425920,9
GRMZM5G874163,8
GRMZM2G017550,7
GRMZM2G071157,7
GRMZM2G171650,7
GRMZM5G836174,7
AC149475.2_FG003,6
GRMZM2G126002,6
GRMZM2G133746,6
GRMZM5G852779,6
GRMZM2G007188,5
GRMZM2G013634,5
GRMZM2G027663,5
GRMZM2G037627,5
GRMZM2G077811,5
GRMZM2G087806,5
GRMZM2G108487,5
GRMZM2G115598,5
GRMZM2G133629,5
GRMZM2G135866,5
GRMZM2G138245,5
GRMZM2G146041,5
GRMZM2G150264,5
GRMZM2G153178,5
GRMZM2G165597,5
GRMZM2G403590,5
GRMZM2G700788,5
GRMZM5G816453,5
GRMZM5G820727,5
GRMZM6G660276,5
