method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.156713995053566,289.641061126933,45.390807820756,218.631813108651,2,0.05,9
medfix0.5,groot,0.130386110179362,213.315928791096,27.8134341943687,168.151771302016,2,0.05,6
medfix0.5,l3t,0.130078079948041,154.304042311398,20.071573552088,129.698202045773,2,0.05,12
medfix0.5,l3b,0,266.453795108938,0,266.453795108938,0,0.05,7
medfix0.5,ld268,0.0424420947960979,223.86958183343,9.50149401413724,200.857962556719,1,0.05,13
medfix0.5,ln268,0,316.925741723816,0,316.925741723816,0,0.05,17
medfix0.5,kern,0.157689742597588,208.0687350728,32.8103052762355,163.693561395725,2,0.05,6
medfixbic,gs,0.117752037615712,440.325035966618,51.849170198281,331.52428583795,2,0.05,11
medfixbic,groot,0.0658109987781006,505.492469457814,33.2669642898273,452.768371010955,1,0.05,15
medfixbic,l3t,0.763094163386741,39.0338898503739,29.7865335191012,15.843052321554,3,0.05,1
medfixbic,l3b,1,54.4691111079293,54.4691111079293,0,3,0.05,0
medfixbic,ld268,0,231.877257539163,0,231.877257539163,0,0.05,8
medfixbic,ln268,0,473.647777079864,0,473.647777079864,0,0.05,27
medfixbic,kern,0.0655615340785633,373.878365064272,24.5120391723988,328.106626434747,1,0.05,7
medmix.linear,gs,0,2.64334931845052,0,2.64334931845052,0,0.05,0
medmix.linear,groot,0,5.55036013732397,0,5.55036013732397,0,0.05,0
medmix.linear,l3t,0,28.9019980666701,0,28.9019980666701,0,0.05,0
medmix.linear,l3b,0.830624064696008,26.3469876915417,21.884442008844,6.1305216531804,1,0.05,0
medmix.linear,ld268,0,1.01670031205197e-16,0,1.01670031205197e-16,0,0.05,0
medmix.linear,ln268,0.999999999886516,5.26252493267095,5.26252493207374,1.87523924947028e-16,1,0.05,0
medmix.linear,kern,0.806859751057867,49.7171482976069,40.1147658987141,12.6839591934068,1,0.05,0
medmix.shrink,gs,0,1.93452763937144e-16,0,1.93452763937144e-16,0,0.05,0
medmix.shrink,groot,0,6.22661649489969,0,6.22661649489969,0,0.05,0
medmix.shrink,l3t,0,28.9037084453885,0,28.9037084453885,0,0.05,0
medmix.shrink,l3b,0.694748249930747,36.0468970374451,25.0435186321988,13.2029483098306,1,0.05,0
medmix.shrink,ld268,0,1.03732599694906e-16,0,1.03732599694906e-16,0,0.05,0
medmix.shrink,ln268,0.999999999876742,5.15387688967167,5.15387688903641,1.87702628513619e-16,1,0.05,0
medmix.shrink,kern,0.674342583779151,61.514138540693,41.4816031224796,23.4845835172466,1,0.05,0
